"beta_1_MB","beta_1_MF","beta_2","alpha","pers"
0.746034824307488,1.48800863461303,0.485959790229257,0.189487942779623,2.70679800082668
0.994080305042757,0.824159677734766,0.0186512891378002,0.685984678678532,0.688304809330336
0.809290148460161,1.01716328875675,0.839920265675923,0.629659723770908,0.481579861230126
1.23919825705476,1.16603599115297,1.54290795356728,0.791805555108813,0.593691011777777
0.500070895032593,0.242134803300902,1.40686135205498,0.966409220077031,1.40235264647098
0.815894268042503,0.747377252396212,1.04768881861817,0.969344188528108,1.41005948693315
1.22997218401073,1.09287229130522,0.246729064175134,0.378920506628623,0.363688441219191
0.85468443862199,0.198413137802307,1.54382217137284,0.00464182286732,0.0908453952369571
0.643086990073198,0.226492684869147,1.77970588644864,0.335234748277178,2.36790069991645
0.711179073938011,0.232094242421612,1.97924369474987,0.266113132799353,3.24761260762665
0.72639233400683,0.314306167479331,1.53690867027097,0.910057525006062,1.9453776676057
1.12222502960759,0.797936144673177,1.19211515434751,0.931846562469557,2.87081506515526
0.714003205109602,2.0577460848504,1.5479166017823,0.95269002011418,1.77217728689368
1.49131857637917,0.771476033359575,0.957610459485775,0.462644346980076,1.84270271608474
0.789747877910422,1.42795441183176,1.22548234998727,0.189807399119215,1.38832961265102
0.968807659900996,1.77530974620077,1.35904849442142,0.474966380614011,0.697653485592991
0.882205998222677,1.64027673043195,1.05589759352506,0.286319746528368,1.34970616901847
0.674972096294131,0.61127969377946,1.92678783068025,0.871023999978595,1.13842935271245
0.923583088964395,1.10689892436386,1.71776666679253,0.0243348572590822,1.80870921984252
0.937959153790559,1.10648306814692,1.24390039918263,0.0209128611897807,1.64883917260719
0.614415489232306,0.170776424573506,0.126041457342898,0.84926141831001,1.27898087958963
1.0428812725085,0.72734274182166,0.957544479771313,0.952695085941254,1.58672119099483
0.704234763116036,0.15565855277478,1.56372995472865,0.0058378253465603,1.40819223160867
0.970412430003288,0.981478074735228,1.68227822032116,0.0244662958880222,1.72500634261639
1.23388442891543,1.11626415354265,1.77452087357,0.95507145977339,1.71814896996368
0.344613626164249,0.161993907581796,1.88693321825393,0.01403082944402,0.523156757106324
1.56830455880897,0.333972437471331,0.783654596542927,0.743152945920452,1.43633693656817
1.33565762218166,1.37559731960156,1.90313960057252,0.362751661477519,-0.794317539935415
0.928213238542018,0.236467279464828,2.35182903442638,0.927163951911879,0.923534808113343
0.815089039356195,0.459276440889386,1.48094333151314,0.170914710424759,1.24849327218058
0.714023396384443,0.624293220000665,1.119951277806,0.962360837213874,1.84112235426527
0.858899432571009,0.314049548120795,0.945616179239047,0.920501135636513,1.3596410841957
1.5017910049307,0.432721093573296,-0.166795815865088,0.129654658655295,1.91663151095211
0.945585060076111,1.02460057555479,1.78265392285961,0.0181326478939241,1.57744591729592
0.55583029695752,0.623138623812448,0.678686614981283,0.522886196277457,0.622232732256297
