"beta_1_MB","beta_1_MF","beta_2","alpha","pers"
0.537849444352675,0.859343068657517,0.96683018781892,0.942770714470732,0.919917760982273
0.496349874892104,0.695898686868152,0.913292987251264,0.919022964062682,0.803860871369878
0.475493067853633,0.846442230097736,0.937502376865623,0.940618337454831,0.923659817031521
0.625769795975451,0.873437126203249,0.93411226927495,0.967066604644679,0.910784243942213
0.692980796647792,0.71560760211071,0.950862533817171,0.909959663110795,0.945496328295223
0.469737178671437,0.89067124993258,0.885327098240503,0.953125751870939,0.917819224698117
0.33111445449425,0.91104911599057,0.932944553363127,0.948914221542202,0.937049248025101
0.608149421255638,0.827619975955109,0.853670253989419,0.946134568661252,0.913960373500836
0.701905237580547,0.831344403420034,0.961489628075461,0.931082547515527,0.855692031903272
0.372068688633047,0.841120589430789,0.935378004183577,0.962002393304895,0.863537076392488
