Row,mean,std,SE
total_reward_nt,77.7027027027027,9.62596276531128,1.58249853045625
total_reward_tr,77.6756756756757,8.77196941669586,1.44210288877836
total_reward,155.378378378378,14.1487167681803,2.32603470835917
avg_rt1,0.30580636740173,0.0729272915644786,0.0119891728801228
avg_rt2,0.412648001004824,0.133924946161454,0.0220171255238676
avg_rt,0.359084554605334,0.0962907212083168,0.0158300970535498
avg_rt1_nt,0.305115642515143,0.0760364552492786,0.0125003162412705
avg_rt2_nt,0.413338375094815,0.150838666096974,0.0247977239528335
avg_rt_nt,0.35902925847546,0.106703679518765,0.0175419768546404
avg_rt1_tr,0.306559344775631,0.092944190516029,0.0152799307967514
avg_rt2_tr,0.412180551809863,0.144148187021056,0.0236978159681649
avg_rt_tr,0.359270658237185,0.110011936802802,0.0180858510018816
