Row,mean,std,SE
EAT-26,2.9375,2.72310899169408,0.481382208484237
AAI,4.59375,2.87210583640016,0.507721378301004
OCI-R,5.5,3.5921060405355,0.635000635000952
weight,57.9775862068965,13.3472815999504,2.47852797044713
height,161.446,9.91556234167907,1.81032572162879
bmi,21.8337559898556,4.27233594672607,0.807395602311349
age,26.375,4.60539655397392,0.814126783342029
