Row,mean,std,SE
total_reward_nt,81.4722222222222,9.44604561590604,1.57434093598434
total_reward_tr,77.0277777777778,9.1197935788391,1.51996559647318
total_reward,158.5,12.4590758657523,2.07651264429205
avg_rt1,0.285462045205244,0.0781668351162291,0.0130278058527049
avg_rt2,0.386819207337713,0.107920099914227,0.0179866833190378
avg_rt,0.336069543409535,0.0860754473930761,0.014345907898846
avg_rt1_nt,0.290331806481146,0.0830047247106593,0.0138341207851099
avg_rt2_nt,0.384189514874268,0.122329040617789,0.0203881734362981
avg_rt_nt,0.33715423139105,0.0947849557323105,0.0157974926220517
avg_rt1_tr,0.280587055479159,0.0873319132023459,0.0145553188670576
avg_rt2_tr,0.389498746002145,0.114605894955213,0.0191009824925355
avg_rt_tr,0.334989790030966,0.0936628464758439,0.0156104744126407
