"beta_1_MB","beta_1_MF","beta_2","alpha","pers"
0.484516047187337,0.84650802683394,0.938064451885749,0.922438797075205,0.92937910351041
0.673010830736783,0.849356953923019,0.922254030069268,0.973868873396762,0.910790971256557
0.469051767841967,0.804846523126191,0.905873815633524,0.966506199398262,0.811092020708594
0.595650817262978,0.719773756022574,0.940697825274737,0.938769245006131,0.901871888743262
0.434453174941656,0.874409247032869,0.904113209394333,0.97784368646169,0.914323480417144
0.459871730261734,0.885514741866246,0.874039109903277,0.939321413366541,0.905726905536164
0.540540265831557,0.850763870997628,0.8639913998597,0.977963681589399,0.955093764893928
0.533222829894085,0.895577446794995,0.924676795197486,0.956691033613338,0.92574721260355
0.672017304271073,0.827910429334958,0.794099915077007,0.977524270250111,0.828434306892518
0.588951065547007,0.756726355267271,0.745914099404336,0.945693474938332,0.915381824130567
