"beta_1_MB","beta_1_MF","beta_2","alpha","pers"
0.659556771560691,0.780161324664602,0.739337615195413,0.981027622381646,0.768094575290835
0.769598348142109,0.688179148732082,0.821041061771913,0.97793902062061,0.824993624005218
0.637272479174533,0.842189009291671,0.886889869875044,0.972608581574396,0.760188621880324
0.531595895626657,0.890960785655781,0.76466396305746,0.963969553399705,0.918637836002975
0.605379311602629,0.695982244741783,0.922896003848962,0.97430525502462,0.873074529464746
0.562930391708161,0.80171721160024,0.885530583230951,0.958812594006371,0.850037639119177
0.495842571297904,0.831907919836368,0.804547089540509,0.977216755712679,0.822746622857245
0.708341830383262,0.850950738097784,0.674502379385394,0.969102242424915,0.816015818768341
0.637867480901922,0.821718983428289,0.737083964668158,0.983045928168795,0.848290408799135
0.763511157828758,0.877801158714446,0.77512820935202,0.978098556537314,0.790612564608658
