"beta_1_MB","beta_1_MF","beta_2","alpha","pers"
0.695287211625942,0.685208562002246,0.883013226420636,0.935639446121987,0.91920318019115
0.309237764631823,0.722331960044037,0.777750255672827,0.963577868370348,0.873647333427787
0.545829326514488,0.811858372190648,0.854350620124295,0.948075635078782,0.890718218441502
0.542457749969128,0.727870475912746,0.865872955957339,0.968825273326342,0.852219362790737
0.513168165332423,0.854553104896449,0.874576881308951,0.977828290810292,0.807020054216287
0.584534531723759,0.748893689847021,0.916010133559474,0.976205628800436,0.883319058106088
0.610073994843628,0.823752839582776,0.896335382764212,0.970738866110139,0.873021135288355
0.192619590100881,0.771555963153298,0.885401644063376,0.933253462972916,0.941451412490611
0.570061573291411,0.712241423616113,0.86705517664085,0.957838588626535,0.829471184789766
0.538934358180968,0.748748248083989,0.801166155822487,0.886499973731951,0.909163194941372
