"beta_1_MB","beta_1_MF","beta_2","alpha","pers"
0.556833303579745,0.671056161709526,0.63519863968539,0.893762071768373,0.794837948436882
0.343951514225484,0.866189151726744,0.746923969431722,0.843747374263948,0.880324879427887
0.357063529814552,0.518393921454617,0.829176161259664,0.904744574297296,0.783374779415826
0.21772680443056,0.74865460652962,0.869766399918939,0.920846260066933,0.770848164150809
0.556152683118837,0.794179375105453,0.825059370349533,0.9029250870256,0.804366262420421
0.475643932311699,0.726325504910456,0.864962825411728,0.872029170416867,0.782983120624171
0.55038065180749,0.818397363205845,0.765678697664115,0.928426583058734,0.740131215615173
0.25065198996331,0.743848377423695,0.81904519558145,0.915843037024751,0.871339746164111
0.29278337975155,0.617403209911279,0.805822114190716,0.767933134956726,0.763372659699746
0.236327379154933,0.86170678912558,0.904206200715679,0.930325779308769,0.835204305232051
