"sub","condition","group","cond_order","n_com_rew","n_com_unrew","n_rare_rew","n_rare_unrew","p_com_rew","p_com_unrew","p_rare_rew","p_rare_unrew","mb_score","mf_score","age_z"
67,"NT","HC","NTfirst",61,30,25,16,0.983870967741935,0.697674418604651,1,0.8,0.0861965491372844,0.486196549137284,1.08056797739044
71,"NT","HC","BIDfirst",69,42,17,15,0.985714285714286,0.933333333333333,0.894736842105263,0.9375,0.0951441102756893,0.00961779448621569,-1.09410892948807
72,"NT","HC","BIDfirst",50,28,17,12,0.87719298245614,0.608695652173913,0.566666666666667,0.705882352941177,0.407713016556737,0.129281644007717,-1.4895047307387
74,"NT","HC","BIDfirst",56,40,15,17,0.982456140350877,0.740740740740741,0.9375,0.739130434782609,0.0433458343927451,0.440084964827528,-1.09410892948807
76,"NT","HC","NTfirst",50,41,23,16,0.943396226415094,0.872340425531915,0.793103448275862,0.761904761904762,0.0398571145120792,0.10225448725428,-1.68720263136402
78,"NT","HC","NTfirst",54,31,20,18,0.915254237288136,0.645833333333333,0.909090909090909,0.857142857142857,0.21747285200675,0.321368955902854,-0.896411028862746
80,"NT","HC","NTfirst",59,43,23,22,0.983333333333333,0.977272727272727,1,0.956521739130435,-0.0374176548089592,0.0495388669301713,0.685172176139804
83,"NT","HC","NTfirst",52,31,18,19,0.896551724137931,0.645833333333333,0.782608695652174,0.904761904761905,0.372871599914328,0.128565181694867,-1.29180683011338
84,"NT","HC","BIDfirst",57,42,20,16,0.95,0.807692307692308,0.952380952380952,0.941176470588235,0.131103210514975,0.153512174100409,1.27826587801576
7,"BID","ED","NTfirst",53,45,22,19,0.963636363636364,0.9,1,0.826086956521739,-0.110276679841897,0.237549407114624,1.08056797739044
10,"BID","ED","BIDfirst",35,52,21,23,0.833333333333333,0.852459016393443,0.954545454545455,0.92,-0.0536711376055637,0.0154197714853455,1.27826587801576
14,"BID","ED","NTfirst",38,40,25,18,0.904761904761905,0.701754385964912,0.961538461538462,0.72,-0.0385309427414691,0.444545980335454,1.47596377864108
15,"BID","ED","NTfirst",38,29,16,14,0.808510638297872,0.537037037037037,0.615384615384615,0.608695652173913,0.264784638050133,0.278162564471538,-0.30331732698679
16,"BID","ED","BIDfirst",52,56,22,16,0.981132075471698,0.982456140350877,1,0.888888888888889,-0.11243517599029,0.109787046231932,0.882870076765122
17,"BID","ED","BIDfirst",45,49,22,19,0.918367346938776,0.859649122807018,1,0.863636363636364,-0.0776454122318784,0.195081860495394,0.882870076765122
19,"BID","ED","NTfirst",46,39,21,13,0.836363636363636,0.795918367346939,0.75,0.722222222222222,0.0126674912389197,0.0682230467944754,1.87135957989172
20,"BID","ED","NTfirst",47,33,20,17,0.796610169491525,0.804878048780488,0.833333333333333,0.653846153846154,-0.187755058776142,0.171219300198217,-0.896411028862746
22,"BID","ED","BIDfirst",39,37,16,14,0.764705882352941,0.672727272727273,0.761904761904762,0.608695652173913,-0.0612305001051804,0.245187719356517,-0.30331732698679
24,"BID","ED","BIDfirst",39,32,21,14,0.78,0.56140350877193,0.84,0.777777777777778,0.156374269005848,0.280818713450293,0.289776374889166
27,"BID","ED","BIDfirst",51,29,22,15,0.80952380952381,0.630434782608696,0.88,0.9375,0.236589026915114,0.121589026915114,-0.896411028862746
32,"BID","ED","BIDfirst",47,43,11,22,0.87037037037037,0.811320754716981,0.785714285714286,0.758620689655172,0.0319560195942759,0.0861432117125025,1.08056797739044
33,"BID","ED","BIDfirst",48,37,22,19,0.872727272727273,0.755102040816326,1,0.791666666666667,-0.0907081014223872,0.325958565244279,0.685172176139804
36,"BID","ED","BIDfirst",42,51,26,22,0.976744186046512,0.927272727272727,0.962962962962963,0.88,-0.0334915041891786,0.132434421736747,1.27826587801576
38,"BID","ED","NTfirst",43,49,22,24,0.895833333333333,0.924528301886792,0.916666666666667,0.96,0.0146383647798742,-0.0720283018867924,1.6736616792664
39,"BID","ED","NTfirst",32,21,23,10,0.615384615384615,0.456521739130435,0.851851851851852,0.4,-0.292988975597671,0.610714728106032,-0.30331732698679
44,"BID","ED","NTfirst",33,27,14,9,0.647058823529412,0.442622950819672,0.636363636363636,0.5625,0.130572236346103,0.278299509073376,1.27826587801576
46,"BID","ED","NTfirst",5,0,2,0,0.0819672131147541,0,0.0833333333333333,0,-0.00136612021857924,0.165300546448087,1.08056797739044
51,"BID","ED","BIDfirst",47,48,15,23,0.959183673469388,0.827586206896552,1,0.821428571428571,-0.0469739619985926,0.310168895144265,1.87135957989172
52,"BID","ED","NTfirst",43,53,18,22,0.895833333333333,0.929824561403509,0.947368421052632,0.846153846153846,-0.135205802968961,0.06722334682861,-0.105619426361471
53,"BID","ED","BIDfirst",58,27,17,26,0.920634920634921,0.710526315789474,0.894736842105263,0.866666666666667,0.18203842940685,0.238178780284043,0.487474275514485
55,"BID","ED","BIDfirst",62,38,17,21,0.925373134328358,0.863636363636364,1,0.954545454545455,0.0162822252374492,0.10719131614654,1.87135957989172
56,"BID","ED","NTfirst",48,43,19,15,0.905660377358491,0.796296296296296,0.904761904761905,0.681818181818182,-0.113579641881529,0.332307804005917,0.289776374889166
57,"BID","ED","BIDfirst",56,32,18,13,0.888888888888889,0.695652173913043,0.947368421052632,0.590909090909091,-0.163222615167695,0.549696045119386,0.289776374889166
59,"BID","ED","NTfirst",49,43,31,14,0.98,0.796296296296296,1,0.933333333333333,0.117037037037037,0.25037037037037,1.08056797739044
60,"BID","ED","NTfirst",35,37,12,7,0.648148148148148,0.587301587301587,0.75,0.411764705882353,-0.277388733271086,0.399081854964208,0.0920784742638473
62,"BID","ED","NTfirst",50,28,25,11,0.909090909090909,0.583333333333333,1,0.5,-0.174242424242424,0.825757575757576,-0.501015227612109
64,"BID","ED","BIDfirst",47,37,26,16,0.94,0.672727272727273,1,0.842105263157895,0.109377990430622,0.425167464114832,-1.29180683011338
68,"BID","ED","BIDfirst",47,45,19,21,0.87037037037037,0.849056603773585,0.95,0.91304347826087,-0.015642755142345,0.058270288335916,-0.105619426361471
69,"BID","ED","BIDfirst",59,44,21,17,0.967213114754098,0.897959183673469,0.91304347826087,1,0.156210452819759,-0.0177025906585014,-0.501015227612109
70,"BID","ED","NTfirst",59,28,23,9,0.921875,0.666666666666667,0.821428571428571,0.5625,-0.00372023809523803,0.514136904761905,1.27826587801576
73,"BID","ED","BIDfirst",38,49,18,19,0.791666666666667,0.80327868852459,0.947368421052632,0.863636363636364,-0.0953440792741914,0.0721200355583443,-0.501015227612109
75,"BID","ED","NTfirst",26,33,12,4,0.464285714285714,0.55,0.666666666666667,0.25,-0.502380952380952,0.330952380952381,-0.501015227612109
77,"BID","ED","BIDfirst",64,33,13,26,0.955223880597015,0.846153846153846,0.928571428571429,0.866666666666667,0.0471652725384069,0.17097479634793,0.487474275514485
79,"BID","ED","NTfirst",51,34,15,19,0.944444444444444,0.596491228070175,0.9375,0.826086956521739,0.236540172896008,0.45936625985253,-0.30331732698679
81,"BID","ED","BIDfirst",48,48,19,15,0.941176470588235,0.761904761904762,1,0.882352941176471,0.061624649859944,0.296918767507003,-0.896411028862746
82,"BID","ED","BIDfirst",62,39,16,20,0.953846153846154,0.906976744186046,0.842105263157895,0.869565217391304,0.0743293638935171,0.0194094554266979,0.487474275514485
2,"BID","HC","NTfirst",50,17,10,15,0.943396226415094,0.346938775510204,0.416666666666667,0.625,0.804790784238224,0.388124117571557,1.08056797739044
3,"BID","HC","BIDfirst",54,23,17,16,0.931034482758621,0.48936170212766,0.894736842105263,0.615384615384615,0.162320553910313,0.721025007351609,-0.896411028862746
6,"BID","HC","NTfirst",44,31,27,18,0.936170212765957,0.62,0.931034482758621,0.75,0.135135730007337,0.497204695524578,-0.30331732698679
11,"BID","HC","BIDfirst",60,43,17,14,0.923076923076923,0.843137254901961,0.944444444444444,0.875,0.0104952237305179,0.149384112619407,-0.501015227612109
12,"BID","HC","BIDfirst",57,32,16,26,0.966101694915254,0.711111111111111,0.888888888888889,0.928571428571429,0.294673123486683,0.215308044121603,1.27826587801576
13,"BID","HC","BIDfirst",62,24,24,11,0.96875,0.585365853658537,0.96,0.55,-0.0266158536585365,0.793384146341463,-0.501015227612109
18,"BID","HC","NTfirst",54,39,25,17,0.931034482758621,0.847826086956522,0.892857142857143,0.944444444444444,0.1347956973894,0.0316210942147974,0.289776374889166
23,"BID","HC","BIDfirst",37,27,15,5,0.649122807017544,0.5,0.6,0.357142857142857,-0.0937343358395989,0.391979949874687,-1.29180683011338
25,"BID","HC","BIDfirst",51,34,26,12,0.894736842105263,0.693877551020408,0.962962962962963,0.705882352941177,-0.0562213189369314,0.457939901106642,-0.30331732698679
26,"BID","HC","BIDfirst",59,22,28,17,0.880597014925373,0.733333333333333,0.933333333333333,0.739130434782609,-0.0469392169586849,0.341466580142764,0.0920784742638473
28,"BID","HC","BIDfirst",46,35,18,12,0.807017543859649,0.729166666666667,0.620689655172414,0.75,0.207161222020569,-0.0514594676346037,-1.29180683011338
29,"BID","HC","NTfirst",48,39,20,28,0.96,0.866666666666667,0.952380952380952,0.823529411764706,-0.0355182072829132,0.22218487394958,-1.29180683011338
30,"BID","HC","NTfirst",53,29,22,16,0.963636363636364,0.659090909090909,0.916666666666667,0.592592592592593,-0.0195286195286195,0.628619528619529,0.685172176139804
35,"BID","HC","NTfirst",53,29,25,15,0.883333333333333,0.763157894736842,1,0.555555555555556,-0.324269005847953,0.564619883040936,0.289776374889166
37,"BID","HC","NTfirst",39,26,16,17,0.847826086956522,0.433333333333333,0.888888888888889,0.653846153846154,0.179450018580453,0.649535488665923,-1.4895047307387
40,"BID","HC","BIDfirst",41,30,28,7,0.854166666666667,0.535714285714286,0.848484848484849,0.538461538461538,0.00842907092907086,0.628475690975691,-0.105619426361471
41,"BID","HC","NTfirst",51,36,20,19,0.927272727272727,0.705882352941177,0.869565217391304,0.904761904761905,0.256587061702151,0.18619368696095,-0.30331732698679
42,"BID","HC","BIDfirst",45,31,18,14,0.849056603773585,0.543859649122807,1,0.636363636363636,-0.0584394089855858,0.668833318287142,-1.09410892948807
43,"BID","HC","BIDfirst",67,43,14,17,0.957142857142857,0.934782608695652,1,0.85,-0.127639751552795,0.172360248447205,-1.4895047307387
47,"BID","HC","NTfirst",46,19,23,6,0.821428571428571,0.387755102040816,0.92,0.3,-0.186326530612245,1.05367346938776,-0.501015227612109
48,"BID","HC","BIDfirst",52,46,23,26,0.981132075471698,0.978723404255319,1,0.962962962962963,-0.0346283658206581,0.039445708253416,-0.896411028862746
49,"BID","HC","NTfirst",51,38,20,21,0.927272727272727,0.76,0.952380952380952,0.875,0.0898917748917749,0.24465367965368,-0.501015227612109
50,"BID","HC","BIDfirst",58,33,28,13,0.983050847457627,0.75,0.96551724137931,0.722222222222222,-0.010244171699461,0.476345866614715,-0.698713128237428
54,"BID","HC","NTfirst",62,44,22,18,0.96875,0.956521739130435,1,1,0.0122282608695652,0.0122282608695652,-1.09410892948807
61,"BID","HC","NTfirst",54,49,16,22,0.947368421052632,0.907407407407407,0.941176470588235,1,0.0987845430569888,-0.0188625157665405,1.6736616792664
65,"BID","HC","BIDfirst",51,40,26,19,0.962264150943396,0.816326530612245,0.928571428571429,0.95,0.167366191759723,0.12450904890258,-0.698713128237428
66,"BID","HC","BIDfirst",55,35,22,20,0.932203389830508,0.795454545454545,0.88,0.909090909090909,0.165839753466872,0.107657935285054,-1.29180683011338
67,"BID","HC","NTfirst",55,36,21,14,0.982142857142857,0.75,0.91304347826087,0.608695652173913,-0.0722049689440993,0.536490683229814,1.08056797739044
71,"BID","HC","BIDfirst",63,41,17,22,0.969230769230769,0.931818181818182,0.944444444444444,0.956521739130435,0.0494898820985779,0.025335292726597,-1.09410892948807
72,"BID","HC","BIDfirst",65,26,9,15,0.955882352941177,0.604651162790698,0.45,0.789473684210526,0.690704874361005,0.0117575059399526,-1.4895047307387
74,"BID","HC","BIDfirst",51,27,29,15,0.980769230769231,0.6,0.935483870967742,0.681818181818182,0.127103541619671,0.634434919918791,-1.09410892948807
76,"BID","HC","NTfirst",55,40,13,22,0.982142857142857,0.851063829787234,0.565217391304348,0.916666666666667,0.482528302717942,-0.220370248006696,-1.68720263136402
78,"BID","HC","NTfirst",65,31,27,15,0.942028985507246,0.837837837837838,1,0.882352941176471,-0.0134559111541209,0.221838206492938,-0.896411028862746
80,"BID","HC","NTfirst",62,44,23,17,0.96875,1,1,0.894736842105263,-0.136513157894737,0.0740131578947368,0.685172176139804
83,"BID","HC","NTfirst",46,33,20,23,0.958333333333333,0.702127659574468,0.952380952380952,0.676470588235294,-0.0197046903867929,0.532116037904523,-1.29180683011338
84,"BID","HC","BIDfirst",56,44,34,13,0.96551724137931,0.977777777777778,1,1,-0.0122605363984674,-0.0122605363984672,1.27826587801576
