"beta_1_MB","beta_1_MF","beta_2","alpha","pers"
0.548311057960716,0.855493958982271,0.953285856003428,0.962731765620364,0.898079874477314
0.544232735359625,0.834296018804441,0.927311346351589,0.949035363307292,0.920806627801499
0.5714129280598,0.825768509639208,0.963309423441035,0.949933790361444,0.837167168408676
0.569633469285827,0.809035647460595,0.935174712192429,0.970988427011593,0.919998028436722
0.501870697795964,0.739643941923983,0.942405085474769,0.971723240723988,0.950672931389829
0.546520184089745,0.751737764278546,0.84874335661557,0.965486544392595,0.90157729370815
0.469573664798872,0.89707621041511,0.89130080691963,0.904877469626577,0.926093627906234
0.35838852504874,0.781411128738449,0.925757738251468,0.937226993349026,0.936785545819498
0.378474012910952,0.765427561033372,0.941838688400644,0.947062773976467,0.926379815996107
0.638281025083714,0.822037135540246,0.857725862840235,0.96481677101778,0.85206985438976
