"beta_1_MB","beta_1_MF","beta_2","alpha","pers"
0.651392742343674,0.72622983967402,0.912413294314408,0.972328873901237,0.886840607435833
0.39076989923347,0.781768144698812,0.828502069723942,0.96712118253648,0.814908256909186
0.6905427090337,0.781901349774123,0.886073540385645,0.991975238212146,0.88823793964353
0.646771114339701,0.851130392836868,0.910664720629441,0.982211125668102,0.940903148671121
0.734809075786683,0.865127954792714,0.880080608296157,0.972910001045007,0.884319331729934
0.581544060087072,0.875685738856895,0.901539767708568,0.970396929363814,0.787134644750452
0.602573721067336,0.880909650407742,0.940868056406381,0.973051678024565,0.878198701293961
0.523443807863567,0.753392941875066,0.92950817487156,0.98502658953041,0.857383247308526
0.560159828132507,0.824199482657428,0.914694447965882,0.978327382334816,0.935301528742058
0.387153826520105,0.823863046501092,0.886267700388756,0.97167235247702,0.871725308418579
