"beta_1_MB","beta_1_MF","beta_2","alpha","pers"
0.673231176473541,0.639560954612602,0.893792639285252,0.912133836870896,0.956793589161359
0.607060769470474,0.718027928787391,0.902949361162575,0.922180741091721,0.927620169500911
0.764519376369026,0.864508628672291,0.915089737204662,0.907271015364185,0.941517750624237
0.775585085339708,0.845135112061836,0.958902358367706,0.937620896262264,0.895656911027515
0.714275072654146,0.842437009867678,0.911202053249858,0.9378509572324,0.930747712392205
0.745872741477902,0.76442820497785,0.922076889225001,0.882810988652522,0.926614292941275
0.765517623381902,0.82106860724389,0.95224110324391,0.89735071687842,0.93193717020125
0.709915825657957,0.870816963775443,0.912890819634691,0.929646443634348,0.88473159516688
0.708765778800627,0.859117570264855,0.87541714684024,0.923617416061954,0.960129755206041
0.721133858348776,0.896850456454757,0.917325114881044,0.940764677147639,0.840137662576962
